num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
146 	0.1860366755  	0.1860366755 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1451 	0.186234626  	0.186234626 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1229 	0.1872799566  	0.1872799566 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1902 	0.1875620583  	0.1875620583 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1823 	0.1878005807  	0.1878005807 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
52 	0.1873397248  	0.1873397248 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
572 	0.1877277403  	0.1877277403 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
725 	0.1885886653  	0.1885886653 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1463 	0.1880343365  	0.1880343365 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
12 	0.1886447889  	0.1886447889 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
472 	0.1888748259  	0.1888748259 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
95 	0.1902527527  	0.1902527527 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
319 	0.1901480061  	0.1901480061 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
182 	0.1904876139  	0.1904876139 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1999 	0.1910629411  	0.1910629411 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1414 	0.1913896151  	0.1913896151 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1733 	0.19243176  	0.19243176 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1663 	0.1917405024  	0.1917405024 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1649 	0.192468036  	0.192468036 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1190 	0.1929879944  	0.1929879944 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
536 	0.1929949601  	0.1929949601 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
105 	0.194373101  	0.194373101 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1761 	0.1933264334  	0.1933264334 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1908 	0.1945374354  	0.1945374354 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1775 	0.1943856054  	0.1943856054 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1962 	0.1946801432  	0.1946801432 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1302 	0.1948253745  	0.1948253745 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
257 	0.1948475699  	0.1948475699 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1580 	0.1950401819  	0.1950401819 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1879 	0.1960800208  	0.1960800208 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1948 	0.1954515041  	0.1954515041 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1092 	0.1949618973  	0.1949618973 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1939 	0.1960862292  	0.1960862292 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
570 	0.1962718638  	0.1962718638 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
191 	0.1966490288  	0.1966490288 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
869 	0.1970393262  	0.1970393262 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
648 	0.1967044364  	0.1967044364 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1168 	0.1972701531  	0.1972701531 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
94 	0.1973383914  	0.1973383914 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
909 	0.1977869548  	0.1977869548 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1059 	0.1982607125  	0.1982607125 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1528 	0.1980850364  	0.1980850364 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1182 	0.1988396096  	0.1988396096 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
189 	0.1989172858  	0.1989172858 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
114 	0.1994156596  	0.1994156596 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
786 	0.199502176  	0.199502176 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1052 	0.2008719881  	0.2008719881 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
