num 	nn0 	nn0 	degrad_value 
117 	0.218854684 	0.218854684 	3.133e-01 	
534 	0.2194896398 	0.2194896398 	3.122e-01 	
207 	0.2195760556 	0.2195760556 	3.121e-01 	
699 	0.2208118759 	0.2208118759 	3.101e-01 	
660 	0.220160605 	0.220160605 	3.111e-01 	
1276 	0.2210582838 	0.2210582838 	3.097e-01 	
1498 	0.2207085427 	0.2207085427 	3.102e-01 	
522 	0.2212377664 	0.2212377664 	3.094e-01 	
1568 	0.2203549654 	0.2203549654 	3.108e-01 	
1219 	0.2214379358 	0.2214379358 	3.090e-01 	
1164 	0.2214739457 	0.2214739457 	3.090e-01 	
1434 	0.2218557981 	0.2218557981 	3.083e-01 	
580 	0.2218583502 	0.2218583502 	3.083e-01 	
1042 	0.2219885081 	0.2219885081 	3.081e-01 	
30 	0.2215226362 	0.2215226362 	3.089e-01 	
431 	0.2223852877 	0.2223852877 	3.075e-01 	
775 	0.2226320491 	0.2226320491 	3.071e-01 	
682 	0.2229722135 	0.2229722135 	3.065e-01 	
544 	0.2230829958 	0.2230829958 	3.063e-01 	
646 	0.222133327 	0.222133327 	3.079e-01 	
1681 	0.2236876397 	0.2236876397 	3.054e-01 	
962 	0.2234448568 	0.2234448568 	3.058e-01 	
729 	0.2241301109 	0.2241301109 	3.046e-01 	
1668 	0.2241851772 	0.2241851772 	3.046e-01 	
163 	0.2242455128 	0.2242455128 	3.045e-01 	
1725 	0.2232459106 	0.2232459106 	3.061e-01 	
1795 	0.224953859 	0.224953859 	3.033e-01 	
1174 	0.2254320433 	0.2254320433 	3.026e-01 	
369 	0.225889688 	0.225889688 	3.018e-01 	
744 	0.2259831089 	0.2259831089 	3.017e-01 	
247 	0.2259831487 	0.2259831487 	3.017e-01 	
887 	0.2260352618 	0.2260352618 	3.016e-01 	
1332 	0.2263407502 	0.2263407502 	3.011e-01 	
1794 	0.2264504503 	0.2264504503 	3.009e-01 	
170 	0.2267730565 	0.2267730565 	3.004e-01 	
1739 	0.2270520717 	0.2270520717 	3.000e-01 	
115 	0.2270018364 	0.2270018364 	3.000e-01 	
1753 	0.2271735696 	0.2271735696 	2.998e-01 	
1416 	0.2275539106 	0.2275539106 	2.992e-01 	
1564 	0.2283641865 	0.2283641865 	2.979e-01 	
1375 	0.2277214856 	0.2277214856 	2.989e-01 	
1521 	0.2276619055 	0.2276619055 	2.990e-01 	
604 	0.2274134424 	0.2274134424 	2.994e-01 	
282 	0.2278214072 	0.2278214072 	2.987e-01 	
1654 	0.2290648944 	0.2290648944 	2.968e-01 	
1150 	0.2286839623 	0.2286839623 	2.974e-01 	
32 	0.2287223723 	0.2287223723 	2.973e-01 	
973 	0.2287039455 	0.2287039455 	2.973e-01 	
461 	0.2284297424 	0.2284297424 	2.978e-01 	
1701 	0.229480948 	0.229480948 	2.961e-01 	
637 	0.2289378155 	0.2289378155 	2.970e-01 	
616 	0.2295607627 	0.2295607627 	2.960e-01 	
1643 	0.2301215297 	0.2301215297 	2.951e-01 	
110 	0.2300159917 	0.2300159917 	2.953e-01 	
1241 	0.2297206341 	0.2297206341 	2.958e-01 	
1116 	0.2306200402 	0.2306200402 	2.943e-01 	
137 	0.2306357688 	0.2306357688 	2.943e-01 	
1457 	0.2303882092 	0.2303882092 	2.947e-01 	
741 	0.230972029 	0.230972029 	2.938e-01 	
488 	0.2301833485 	0.2301833485 	2.950e-01 	
128 	0.2310367031 	0.2310367031 	2.937e-01 	
1887 	0.231167204 	0.231167204 	2.935e-01 	
107 	0.2312277554 	0.2312277554 	2.934e-01 	
1844 	0.2312984705 	0.2312984705 	2.933e-01 	
1714 	0.2316607899 	0.2316607899 	2.927e-01 	
1297 	0.2318020404 	0.2318020404 	2.925e-01 	
328 	0.2322082302 	0.2322082302 	2.919e-01 	
226 	0.2319830584 	0.2319830584 	2.922e-01 	
695 	0.2323013185 	0.2323013185 	2.917e-01 	
1145 	0.2322320886 	0.2322320886 	2.918e-01 	
165 	0.2326643387 	0.2326643387 	2.912e-01 	
1080 	0.232557642 	0.232557642 	2.913e-01 	
1067 	0.2325297348 	0.2325297348 	2.914e-01 	
1136 	0.2330485098 	0.2330485098 	2.906e-01 	
129 	0.2328875099 	0.2328875099 	2.908e-01 	
1897 	0.2330350888 	0.2330350888 	2.906e-01 	
1144 	0.2332927298 	0.2332927298 	2.902e-01 	
275 	0.2334937198 	0.2334937198 	2.899e-01 	
1283 	0.2336249459 	0.2336249459 	2.897e-01 	
193 	0.2333265515 	0.2333265515 	2.901e-01 	
1895 	0.2331866142 	0.2331866142 	2.904e-01 	
397 	0.2333378929 	0.2333378929 	2.901e-01 	
851 	0.2337028553 	0.2337028553 	2.896e-01 	
1030 	0.2338713886 	0.2338713886 	2.893e-01 	
866 	0.2340146952 	0.2340146952 	2.891e-01 	
183 	0.2340719196 	0.2340719196 	2.890e-01 	
486 	0.2340871832 	0.2340871832 	2.890e-01 	
495 	0.234308328 	0.234308328 	2.886e-01 	
1519 	0.2315200605 	0.2315200605 	2.929e-01 	
1474 	0.2344123706 	0.2344123706 	2.885e-01 	
383 	0.2347763188 	0.2347763188 	2.879e-01 	
