num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
913 	5.5e-09  	63438.15209 	466.826 mV             	3.18282 mA      	642.95 mV        	2.64928 mA   
1816 	5.5e-09  	63730.30097 	466.826 mV             	3.18282 mA      	642.771 mV        	2.64997 mA   
4 	5.5e-09  	63787.71369 	466.826 mV             	3.18282 mA      	642.736 mV        	2.65011 mA   
125 	5.5e-09  	63806.54108 	466.826 mV             	3.18282 mA      	642.724 mV        	2.65015 mA   
171 	5.5e-09  	63898.29656 	466.826 mV             	3.18282 mA      	642.668 mV        	2.65037 mA   
906 	5.5e-09  	63855.70341 	466.826 mV             	3.18282 mA      	642.694 mV        	2.65027 mA   
1529 	5.5e-09  	64030.85255 	466.826 mV             	3.18282 mA      	642.587 mV        	2.65068 mA   
1030 	5.5e-09  	64091.044 	466.826 mV             	3.18282 mA      	642.551 mV        	2.65082 mA   
993 	5.5e-09  	64110.66522 	466.826 mV             	3.18282 mA      	642.539 mV        	2.65087 mA   
148 	5.5e-09  	64232.33986 	466.826 mV             	3.18282 mA      	642.465 mV        	2.65115 mA   
129 	5.5e-09  	64553.8431 	466.826 mV             	3.18282 mA      	642.27 mV        	2.6519 mA   
1068 	5.5e-09  	64508.54676 	466.826 mV             	3.18282 mA      	642.298 mV        	2.65179 mA   
1156 	5.5e-09  	64752.2429 	466.826 mV             	3.18282 mA      	642.151 mV        	2.65236 mA   
1694 	5.5e-09  	64727.29605 	466.826 mV             	3.18282 mA      	642.166 mV        	2.6523 mA   
1133 	5.5e-09  	64796.2724 	466.826 mV             	3.18282 mA      	642.124 mV        	2.65246 mA   
1277 	5.5e-09  	64817.53544 	466.826 mV             	3.18282 mA      	642.111 mV        	2.65251 mA   
1144 	5.5e-09  	64997.04894 	466.826 mV             	3.18282 mA      	642.004 mV        	2.65292 mA   
190 	5.5e-09  	65026.75613 	466.826 mV             	3.18282 mA      	641.986 mV        	2.65299 mA   
1426 	5.5e-09  	64957.25847 	466.826 mV             	3.18282 mA      	642.028 mV        	2.65283 mA   
1928 	5.5e-09  	65039.29025 	466.826 mV             	3.18282 mA      	641.978 mV        	2.65302 mA   
213 	5.5e-09  	65118.12175 	466.826 mV             	3.18282 mA      	641.931 mV        	2.6532 mA   
1366 	5.5e-09  	65070.00758 	466.826 mV             	3.18282 mA      	641.96 mV        	2.65309 mA   
1676 	5.5e-09  	65125.20708 	466.826 mV             	3.18282 mA      	641.927 mV        	2.65322 mA   
1303 	5.5e-09  	65152.47122 	466.826 mV             	3.18282 mA      	641.911 mV        	2.65328 mA   
