num 	tox 	h0 	age_value 
129 	5.5e-09 	64553.8431 	6.429693e-03 	
1068 	5.5e-09 	64508.54676 	6.434207e-03 	
1156 	5.5e-09 	64752.2429 	6.409992e-03 	
1694 	5.5e-09 	64727.29605 	6.412463e-03 	
1133 	5.5e-09 	64796.2724 	6.405637e-03 	
1277 	5.5e-09 	64817.53544 	6.403535e-03 	
1144 	5.5e-09 	64997.04894 	6.385849e-03 	
190 	5.5e-09 	65026.75613 	6.382932e-03 	
1426 	5.5e-09 	64957.25847 	6.389761e-03 	
1928 	5.5e-09 	65039.29025 	6.381702e-03 	
213 	5.5e-09 	65118.12175 	6.373976e-03 	
1366 	5.5e-09 	65070.00758 	6.378689e-03 	
1676 	5.5e-09 	65125.20708 	6.373283e-03 	
1303 	5.5e-09 	65152.47122 	6.370616e-03 	
1415 	5.5e-09 	65167.12872 	6.369183e-03 	
563 	5.5e-09 	65275.63166 	6.358596e-03 	
675 	5.5e-09 	65446.5127 	6.341994e-03 	
1781 	5.5e-09 	65467.96046 	6.339916e-03 	
1571 	5.5e-09 	65518.28014 	6.335047e-03 	
564 	5.5e-09 	65535.06465 	6.333424e-03 	
237 	5.5e-09 	65579.06121 	6.329175e-03 	
524 	5.5e-09 	65605.83167 	6.326593e-03 	
1174 	5.5e-09 	65657.18067 	6.321645e-03 	
1320 	5.5e-09 	65766.68028 	6.311119e-03 	
407 	5.5e-09 	65743.81272 	6.313315e-03 	
1067 	5.5e-09 	65769.52661 	6.310846e-03 	
1634 	5.5e-09 	65791.76826 	6.308713e-03 	
586 	5.5e-09 	65917.24394 	6.296704e-03 	
629 	5.5e-09 	65999.22201 	6.288883e-03 	
255 	5.5e-09 	65835.1744 	6.304553e-03 	
442 	5.5e-09 	66032.23373 	6.285739e-03 	
542 	5.5e-09 	66181.47359 	6.271564e-03 	
607 	5.5e-09 	66285.80316 	6.261693e-03 	
881 	5.5e-09 	66306.52837 	6.259736e-03 	
733 	5.5e-09 	66326.91693 	6.257812e-03 	
1044 	5.5e-09 	66215.02558 	6.268386e-03 	
935 	5.5e-09 	66361.49796 	6.254551e-03 	
654 	5.5e-09 	66422.08488 	6.248846e-03 	
1564 	5.5e-09 	66424.9129 	6.248580e-03 	
794 	5.5e-09 	66424.98554 	6.248573e-03 	
59 	5.5e-09 	66447.38421 	6.246467e-03 	
465 	5.5e-09 	66442.12231 	6.246961e-03 	
1545 	5.5e-09 	66567.66418 	6.235180e-03 	
489 	5.5e-09 	66471.9024 	6.244163e-03 	
719 	5.5e-09 	66581.67655 	6.233868e-03 	
1994 	5.5e-09 	66711.89315 	6.221700e-03 	
319 	5.5e-09 	66842.81715 	6.209513e-03 	
741 	5.5e-09 	66686.93187 	6.224029e-03 	
1471 	5.5e-09 	66758.67162 	6.217340e-03 	
752 	5.5e-09 	66858.50742 	6.208056e-03 	
1282 	5.5e-09 	66868.81342 	6.207099e-03 	
17 	5.5e-09 	66870.72515 	6.206922e-03 	
1296 	5.5e-09 	67019.31572 	6.193160e-03 	
134 	5.5e-09 	66916.06188 	6.202717e-03 	
1563 	5.5e-09 	67045.53845 	6.190738e-03 	
856 	5.5e-09 	67069.30991 	6.188544e-03 	
1975 	5.5e-09 	67098.79628 	6.185824e-03 	
1344 	5.5e-09 	67128.20573 	6.183114e-03 	
1946 	5.5e-09 	67181.77653 	6.178184e-03 	
1752 	5.5e-09 	67199.3124 	6.176572e-03 	
1095 	5.5e-09 	67146.22142 	6.181455e-03 	
1953 	5.5e-09 	67274.46098 	6.169672e-03 	
1106 	5.5e-09 	67378.76515 	6.160121e-03 	
1741 	5.5e-09 	67398.1758 	6.158347e-03 	
400 	5.5e-09 	67411.76947 	6.157105e-03 	
277 	5.5e-09 	67446.04781 	6.153976e-03 	
1450 	5.5e-09 	67459.33195 	6.152764e-03 	
694 	5.5e-09 	67500.13595 	6.149045e-03 	
523 	5.5e-09 	67557.20428 	6.143851e-03 	
1198 	5.5e-09 	67569.12499 	6.142767e-03 	
1702 	5.5e-09 	67639.37314 	6.136387e-03 	
1572 	5.5e-09 	67599.82071 	6.139977e-03 	
1385 	5.5e-09 	67644.68805 	6.135905e-03 	
441 	5.5e-09 	67702.04777 	6.130706e-03 	
1341 	5.5e-09 	67673.26703 	6.133314e-03 	
971 	5.5e-09 	67766.5835 	6.124868e-03 	
1256 	5.5e-09 	67771.99059 	6.124379e-03 	
386 	5.5e-09 	67780.99275 	6.123566e-03 	
1263 	5.5e-09 	67868.26428 	6.115692e-03 	
734 	5.5e-09 	67879.96896 	6.114637e-03 	
1197 	5.5e-09 	68006.4069 	6.103269e-03 	
776 	5.5e-09 	68047.39146 	6.099593e-03 	
611 	5.5e-09 	68051.44056 	6.099230e-03 	
1092 	5.5e-09 	68145.3793 	6.090822e-03 	
455 	5.5e-09 	68208.19748 	6.085212e-03 	
1516 	5.5e-09 	68285.81675 	6.078295e-03 	
122 	5.5e-09 	68196.99363 	6.086212e-03 	
84 	5.5e-09 	68294.63307 	6.077511e-03 	
1894 	5.5e-09 	68399.41661 	6.068200e-03 	
1515 	5.5e-09 	68425.253 	6.065909e-03 	
466 	5.5e-09 	68473.66574 	6.061620e-03 	
508 	5.5e-09 	68492.96351 	6.059913e-03 	
189 	5.5e-09 	68614.52019 	6.049177e-03 	
1495 	5.5e-09 	68621.23288 	6.048585e-03 	
1327 	5.5e-09 	68663.25425 	6.044883e-03 	
107 	5.5e-09 	68724.16431 	6.039526e-03 	
451 	5.5e-09 	68781.06467 	6.034530e-03 	
693 	5.5e-09 	68762.32165 	6.036174e-03 	
382 	5.5e-09 	68819.81841 	6.031131e-03 	
1221 	5.5e-09 	68824.58047 	6.030714e-03 	
1612 	5.5e-09 	68875.83387 	6.026226e-03 	
1473 	5.5e-09 	68877.73725 	6.026060e-03 	
452 	5.5e-09 	68887.3591 	6.025218e-03 	
1651 	5.5e-09 	68921.88225 	6.022200e-03 	
60 	5.5e-09 	68926.4695 	6.021799e-03 	
886 	5.5e-09 	68944.85815 	6.020193e-03 	
1043 	5.5e-09 	68949.16618 	6.019817e-03 	
1285 	5.5e-09 	68985.55576 	6.016642e-03 	
1449 	5.5e-09 	68990.15807 	6.016240e-03 	
1081 	5.5e-09 	69056.53528 	6.010458e-03 	
1742 	5.5e-09 	69044.30755 	6.011522e-03 	
1679 	5.5e-09 	69098.76385 	6.006784e-03 	
1222 	5.5e-09 	69100.7266 	6.006614e-03 	
1805 	5.5e-09 	69139.3416 	6.003259e-03 	
248 	5.5e-09 	69153.97112 	6.001989e-03 	
560 	5.5e-09 	69225.69449 	5.995770e-03 	
797 	5.5e-09 	69230.83802 	5.995325e-03 	
312 	5.5e-09 	69289.02796 	5.990290e-03 	
615 	5.5e-09 	69310.67315 	5.988419e-03 	
214 	5.5e-09 	69336.59854 	5.986180e-03 	
1088 	5.5e-09 	69340.0646 	5.985881e-03 	
604 	5.5e-09 	69359.47925 	5.984205e-03 	
192 	5.5e-09 	69398.79577 	5.980815e-03 	
186 	5.5e-09 	69404.64971 	5.980311e-03 	
972 	5.5e-09 	69416.06662 	5.979327e-03 	
336 	5.5e-09 	69433.00896 	5.977868e-03 	
1012 	5.5e-09 	69471.16249 	5.974585e-03 	
1701 	5.5e-09 	69584.91709 	5.964818e-03 	
1454 	5.5e-09 	69610.47471 	5.962628e-03 	
1655 	5.5e-09 	69623.37326 	5.961523e-03 	
1737 	5.5e-09 	69681.95878 	5.956511e-03 	
546 	5.5e-09 	69777.47998 	5.948357e-03 	
985 	5.5e-09 	69698.4026 	5.955106e-03 	
1147 	5.5e-09 	69780.92117 	5.948064e-03 	
927 	5.5e-09 	69800.20672 	5.946420e-03 	
1025 	5.5e-09 	69857.26959 	5.941563e-03 	
1390 	5.5e-09 	69878.41641 	5.939765e-03 	
805 	5.5e-09 	69905.8737 	5.937432e-03 	
1491 	5.5e-09 	69933.31751 	5.935102e-03 	
1105 	5.5e-09 	70030.48815 	5.926867e-03 	
1474 	5.5e-09 	70049.62903 	5.925247e-03 	
185 	5.5e-09 	70050.91162 	5.925139e-03 	
1064 	5.5e-09 	70103.5411 	5.920691e-03 	
986 	5.5e-09 	70143.36562 	5.917329e-03 	
209 	5.5e-09 	70200.65331 	5.912500e-03 	
679 	5.5e-09 	70271.4368 	5.906545e-03 	
1698 	5.5e-09 	70287.01265 	5.905236e-03 	
820 	5.5e-09 	70342.48158 	5.900579e-03 	
1299 	5.5e-09 	70324.78038 	5.902064e-03 	
1151 	5.5e-09 	70390.63434 	5.896543e-03 	
168 	5.5e-09 	70468.37976 	5.890037e-03 	
1845 	5.5e-09 	70524.86598 	5.885320e-03 	
863 	5.5e-09 	70583.44722 	5.880435e-03 	
1824 	5.5e-09 	70564.69608 	5.881998e-03 	
259 	5.5e-09 	70618.34134 	5.877529e-03 	
585 	5.5e-09 	70642.56489 	5.875514e-03 	
